# After running scripts/push_commits.sh and pushing branch, run scripts/generate_audit_log.sh
# to populate commit SHAs and timestamps. This template maps tasks to the commit messages
# the push script will use so it's straightforward to generate the final audit CSV.
task_id,task_title,commit_message
T1,Project setup & local scaffold,feat: add Flask scaffold and run script - provides local demo entrypoint for MVP
T2,Mock orders & rules engine,feat: add orders connector template and demo mocks - replaces in-memory with configurable connector
T3,Order-status intent + responses,feat: implement order-status intent handler - returns shipped/processing/delivered states
T4,Returns/refunds intent + responses,feat: implement returns/refunds handler - returns eligibility, steps, refund ETA
T5,Integration points & env docs,docs: add integration points & env variables doc - lists APIs to connect for prod
T6,Handoff-ready 1-page go-live note,docs: add 1-page go-live readiness note - summarizes status and handoff steps
T7,Demo flow & README polish,docs: add curl examples and expected outputs - simplifies demo verification for stakeholders
T8,Audit log & commit conventions,docs: add audit_log_template.csv mapping tasks to commits - prepares required audit trail
T9,Testing & validation,test: add smoke test matrix and manual test notes - validates main demo flows
T10,Final packaging + export,feat: add /deliverable packaging and final commit - prepares artifacts for delivery
